FID,Departamento,Provincia,Municipio,Asiento_Electoral,Id_Localidad,Tipo_Circunscripcion,Latitud,Longitud,Tipo_Urbano_Rural,Estado,Geometry_X,Geometry_Y
1134,La Paz,Bautista Saavedra,Charazani,Jatichulaya,4555.0,Especial,-15.173253,-68.967706,Rural,Habilitado TSE,-68.967706,-15.173253
1135,La Paz,Bautista Saavedra,Charazani,Inca Roca,4556.0,Especial,-15.1871,-68.970134,Rural,Habilitado TSE,-68.970134,-15.1871
1136,La Paz,Bautista Saavedra,Charazani,Lunlaya,4557.0,Especial,-15.1746,-69.0221,Rural,Habilitado TSE,-69.0221,-15.1746
1137,La Paz,Bautista Saavedra,Charazani,Jotahoco,4583.0,Especial,-15.255701,-68.998696,Rural,Habilitado TSE,-68.998696,-15.255701
1138,La Paz,Bautista Saavedra,Charazani,Tacachillani,4527.0,Especial,-15.269043,-68.987899,Rural,Habilitado TSE,-68.987899,-15.269043
1139,La Paz,Bautista Saavedra,Charazani,Chuxña Quta,4528.0,Especial,-15.134482,-69.166042,Rural,Habilitado TSE,-69.166042,-15.134482
1140,La Paz,Bautista Saavedra,Charazani,Callinsani,4521.0,Especial,-15.331107,-68.939065,Rural,Habilitado TSE,-68.939065,-15.331107
1141,La Paz,Bautista Saavedra,Charazani,Niño Corin,4464.0,Especial,-15.1598,-68.9855,Rural,Habilitado TSE,-68.9855,-15.1598
1142,La Paz,Bautista Saavedra,Charazani,Florida,4465.0,Especial,-15.1681,-68.5434,Rural,Habilitado TSE,-68.5434,-15.1681
1143,La Paz,Bautista Saavedra,Charazani,Charazani,637.0,Uninominal,-15.176344,-68.995147,Rural,Habilitado TSE,-68.995147,-15.176344
1144,La Paz,Bautista Saavedra,Charazani,Apacheta,3235.0,Especial,-15.14201,-69.12223,Rural,Habilitado TSE,-69.12223,-15.14201
1145,La Paz,Bautista Saavedra,Charazani,Chari,638.0,Especial,-15.17468,-69.041,Rural,Habilitado TSE,-69.041,-15.17468
1146,La Paz,Bautista Saavedra,Charazani,Amarete,639.0,Especial,-15.23865,-68.984479,Rural,Habilitado TSE,-68.984479,-15.23865
1147,La Paz,Bautista Saavedra,Charazani,Amarka,3347.0,Especial,-15.267367,-69.04167,Rural,Habilitado TSE,-69.04167,-15.267367
1148,La Paz,Bautista Saavedra,Charazani,Sayhuani,3383.0,Especial,-15.293198,-68.901817,Rural,Habilitado TSE,-68.901817,-15.293198
1149,La Paz,Bautista Saavedra,Charazani,Chulina (San Miguel),640.0,Especial,-15.169343,-68.937879,Rural,Habilitado TSE,-68.937879,-15.169343
1150,La Paz,Bautista Saavedra,Charazani,Carijana,641.0,Especial,-15.222297,-68.769928,Rural,Habilitado TSE,-68.769928,-15.222297
1151,La Paz,Bautista Saavedra,Charazani,Pauje Yuyo,2771.0,Uninominal,-15.056466,-68.465922,Rural,Habilitado TSE,-68.465922,-15.056466
1152,La Paz,Bautista Saavedra,Charazani,Soto Pata,3313.0,Especial,-15.151001,-68.475076,Rural,Habilitado TSE,-68.475076,-15.151001
1153,La Paz,Bautista Saavedra,Charazani,Gral. Ramón Gonzales,642.0,Especial,-15.1936,-69.0026,Rural,Habilitado TSE,-69.0026,-15.1936
1154,La Paz,Bautista Saavedra,Charazani,Santa Rosa de Caata,643.0,Especial,-15.153722,-69.011237,Rural,Habilitado TSE,-69.011237,-15.153722
1155,La Paz,Bautista Saavedra,Charazani,Kallurhuaya,3472.0,Especial,-15.1727,-68.84801,Rural,Habilitado TSE,-68.84801,-15.1727
1156,La Paz,Bautista Saavedra,Charazani,Moyapampa,3623.0,Especial,-15.259422,-69.012195,Rural,Habilitado TSE,-69.012195,-15.259422
1157,La Paz,Bautista Saavedra,Charazani,Siatha,3624.0,Uninominal,-15.20615,-68.68688,Rural,Habilitado TSE,-68.68688,-15.20615
1158,La Paz,Bautista Saavedra,Charazani,Atique,3625.0,Especial,-15.209068,-68.937357,Rural,Habilitado TSE,-68.937357,-15.209068
1159,La Paz,Bautista Saavedra,Curva,Curva,644.0,Especial,-15.130015,-68.999799,Rural,Habilitado TSE,-68.999799,-15.130015
1160,La Paz,Bautista Saavedra,Curva,Puli,645.0,Especial,-15.058611,-68.911924,Rural,Habilitado TSE,-68.911924,-15.058611
1161,La Paz,Bautista Saavedra,Curva,Kapna,646.0,Especial,-14.95543,-68.90353,Rural,Habilitado TSE,-68.90353,-14.95543
1162,La Paz,Bautista Saavedra,Curva,Caalaya,647.0,Especial,-15.100553,-69.033818,Rural,Habilitado TSE,-69.033818,-15.100553
1163,La Paz,Bautista Saavedra,Curva,Upinuaya,648.0,Especial,-15.124045,-69.0287,Rural,Habilitado TSE,-69.0287,-15.124045
1164,La Paz,Bautista Saavedra,Curva,Lagunillas,649.0,Especial,-15.124996,-69.008263,Rural,Habilitado TSE,-69.008263,-15.124996
1165,La Paz,Bautista Saavedra,Curva,Cañizaya,650.0,Especial,-15.090774,-69.018377,Rural,Habilitado TSE,-69.018377,-15.090774
1166,La Paz,Bautista Saavedra,Curva,Taipi Cañuma,651.0,Especial,-15.03614,-69.13345,Rural,Habilitado TSE,-69.13345,-15.03614
1167,La Paz,Manco Kapac,Copacabana,Copacabana,652.0,Uninominal,-16.165445,-69.085389,Urbano,Habilitado TSE,-69.085389,-16.165445
1168,La Paz,Manco Kapac,Copacabana,Huacuyo,653.0,Uninominal,-16.177763,-69.033938,Rural,Habilitado TSE,-69.033938,-16.177763
1169,La Paz,Manco Kapac,Copacabana,Chisi,2772.0,Uninominal,-16.14534,-68.98846,Rural,Habilitado TSE,-68.98846,-16.14534
1170,La Paz,Manco Kapac,Copacabana,Lokha,654.0,Uninominal,-16.209704,-69.084617,Rural,Habilitado TSE,-69.084617,-16.209704
1171,La Paz,Manco Kapac,Copacabana,Sampaya,655.0,Uninominal,-16.08231,-69.1012,Rural,Habilitado TSE,-69.1012,-16.08231
1172,La Paz,Manco Kapac,Copacabana,Challa(Isla del Sol),656.0,Uninominal,-16.011974,-69.173274,Rural,Habilitado TSE,-69.173274,-16.011974
1173,La Paz,Manco Kapac,Copacabana,Siripaca,657.0,Uninominal,-16.09907,-69.06173,Rural,Habilitado TSE,-69.06173,-16.09907
1174,La Paz,Manco Kapac,Copacabana,Challapampa Isla del Sol,4182.0,Uninominal,-15.99755,-69.182713,Rural,Habilitado TSE,-69.182713,-15.99755
1175,La Paz,Manco Kapac,San Pedro de Tiquina,Calata Grande,4493.0,Uninominal,-16.201769,-68.918262,Rural,Habilitado TSE,-68.918262,-16.201769
1176,La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,658.0,Uninominal,-16.221662,-68.852996,Urbano,Habilitado TSE,-68.852996,-16.221662
1177,La Paz,Manco Kapac,San Pedro de Tiquina,San Pablo de Tiquina,659.0,Uninominal,-16.214893,-68.848504,Urbano,Habilitado TSE,-68.848504,-16.214893
1178,La Paz,Manco Kapac,San Pedro de Tiquina,Santiago de Ojje,660.0,Uninominal,-16.26364,-68.88103,Rural,Habilitado TSE,-68.88103,-16.26364
1179,La Paz,Manco Kapac,San Pedro de Tiquina,Calata de San Martín,661.0,Uninominal,-16.221852,-68.894012,Rural,Habilitado TSE,-68.894012,-16.221852
1180,La Paz,Manco Kapac,San Pedro de Tiquina,Villa Amacari,662.0,Uninominal,-16.25432,-68.86105,Rural,Habilitado TSE,-68.86105,-16.25432
1181,La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui (Parquipujiu),663.0,Uninominal,-16.192781,-68.956342,Urbano,Habilitado TSE,-68.956342,-16.192781
1182,La Paz,Manco Kapac,Tito Yupanqui,Huatapampa,664.0,Uninominal,-16.17676,-68.95433,Rural,Habilitado TSE,-68.95433,-16.17676
1183,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,665.0,Uninominal,-17.654015,-68.049145,Rural,Habilitado TSE,-68.049145,-17.654015
1184,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Puerto Castrillo,666.0,Uninominal,-17.56229,-67.831035,Rural,Habilitado TSE,-67.831035,-17.56229
1185,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Chilaguala,667.0,Uninominal,-17.477554,-68.010328,Rural,Habilitado TSE,-68.010328,-17.477554
1186,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Villa Manquiri,668.0,Uninominal,-17.582051,-67.917103,Rural,Habilitado TSE,-67.917103,-17.582051
1187,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Pedro Domingo Murillo (Chojña),669.0,Uninominal,-17.63544,-67.87997,Rural,Habilitado TSE,-67.87997,-17.63544
1188,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Waldo Ballivián,670.0,Uninominal,-17.542497,-67.985784,Rural,Habilitado TSE,-67.985784,-17.542497
1189,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Conchari,671.0,Uninominal,-17.65724,-68.10113,Rural,Habilitado TSE,-68.10113,-17.65724
1190,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Janko Marca,672.0,Uninominal,-17.668367,-67.870199,Rural,Habilitado TSE,-67.870199,-17.668367
1191,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Río Mulato Kari,673.0,Uninominal,-17.723021,-67.965013,Rural,Habilitado TSE,-67.965013,-17.723021
1192,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Jalsuri,674.0,Uninominal,-17.73604,-67.8949,Rural,Habilitado TSE,-67.8949,-17.73604
1193,La Paz,Gualberto Villarroel,San Pedro de Curahuara,German Busch (G. Villarroel),676.0,Uninominal,-17.53329,-68.05531,Rural,Habilitado TSE,-68.05531,-17.53329
1194,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Hunto Chico Bajo,4179.0,Uninominal,-17.592449,-68.041027,Rural,Habilitado TSE,-68.041027,-17.592449
1195,La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,677.0,Uninominal,-17.81899,-67.768655,Rural,Habilitado TSE,-67.768655,-17.81899
1196,La Paz,Gualberto Villarroel,Papel Pampa,Mollebamba,678.0,Uninominal,-17.739407,-67.829698,Rural,Habilitado TSE,-67.829698,-17.739407
1197,La Paz,Gualberto Villarroel,Papel Pampa,Uno Pata,679.0,Uninominal,-17.69406,-67.71118,Rural,Habilitado TSE,-67.71118,-17.69406
1198,La Paz,Gualberto Villarroel,Papel Pampa,San José,3236.0,Uninominal,-17.72414,-67.75399,Rural,Habilitado TSE,-67.75399,-17.72414
1199,La Paz,Gualberto Villarroel,Papel Pampa,Circa Cruzani,680.0,Uninominal,-17.714409,-67.625011,Rural,Habilitado TSE,-67.625011,-17.714409
1200,La Paz,Gualberto Villarroel,Papel Pampa,Caylla Churo,681.0,Uninominal,-17.6794,-67.56867,Rural,Habilitado TSE,-67.56867,-17.6794
1201,La Paz,Gualberto Villarroel,Papel Pampa,Tituza,3419.0,Uninominal,-17.609484,-67.57136,Rural,Habilitado TSE,-67.57136,-17.609484
1202,La Paz,Gualberto Villarroel,Papel Pampa,Rivera Alta,682.0,Uninominal,-17.59161,-67.66396,Rural,Habilitado TSE,-67.66396,-17.59161
1203,La Paz,Gualberto Villarroel,Papel Pampa,Colque Amaya Alta,3314.0,Uninominal,-17.570807,-67.785998,Rural,Habilitado TSE,-67.785998,-17.570807
1204,La Paz,Gualberto Villarroel,Papel Pampa,Eduardo Avaroa (Escalona),683.0,Uninominal,-17.66832,-67.82444,Rural,Habilitado TSE,-67.82444,-17.66832
1205,La Paz,Gualberto Villarroel,Papel Pampa,San Felipe de Challa,684.0,Uninominal,-17.748044,-67.629166,Rural,Habilitado TSE,-67.629166,-17.748044
1206,La Paz,Gualberto Villarroel,Papel Pampa,Pacollo (G. Villarroel),675.0,Uninominal,-17.78063,-67.8727,Rural,Habilitado TSE,-67.8727,-17.78063
1207,La Paz,Gualberto Villarroel,Chacarilla,Chacarilla,685.0,Uninominal,-17.580797,-68.204394,Rural,Habilitado TSE,-68.204394,-17.580797
1208,La Paz,Gualberto Villarroel,Chacarilla,Rosapata,686.0,Uninominal,-17.49878,-68.10223,Rural,Habilitado TSE,-68.10223,-17.49878
1209,La Paz,Gualberto Villarroel,Chacarilla,Puerto Aroma,687.0,Uninominal,-17.462408,-68.160768,Rural,Habilitado TSE,-68.160768,-17.462408
1210,La Paz,General José Manuel Pando,Santiago de Machaca,Santiago de Machaca,688.0,Uninominal,-17.066041,-69.192136,Urbano,Habilitado TSE,-69.192136,-17.066041
1211,La Paz,General José Manuel Pando,Santiago de Machaca,Berenguela,689.0,Uninominal,-17.28709,-69.21403,Rural,Habilitado TSE,-69.21403,-17.28709
1212,La Paz,General José Manuel Pando,Santiago de Machaca,Santiago de Huari Phujo,690.0,Uninominal,-17.137085,-69.047545,Rural,Habilitado TSE,-69.047545,-17.137085
1213,La Paz,General José Manuel Pando,Santiago de Machaca,General José Ballivián (Atacuni),692.0,Uninominal,-17.173964,-69.15151,Rural,Habilitado TSE,-69.15151,-17.173964
1214,La Paz,General José Manuel Pando,Santiago de Machaca,Bautista Saavedra,693.0,Uninominal,-17.209424,-69.257785,Rural,Habilitado TSE,-69.257785,-17.209424
1215,La Paz,General José Manuel Pando,Santiago de Machaca,Villa Exaltación,694.0,Uninominal,-17.24455,-69.27541,Rural,Habilitado TSE,-69.27541,-17.24455
1216,La Paz,General José Manuel Pando,Catacora,Catacora,695.0,Uninominal,-17.160995,-69.486891,Rural,Habilitado TSE,-69.486891,-17.160995
1217,La Paz,General José Manuel Pando,Catacora,Thola Collo,696.0,Uninominal,-17.233984,-69.555759,Rural,Habilitado TSE,-69.555759,-17.233984
1218,La Paz,General José Manuel Pando,Catacora,Pairumani Grande,697.0,Uninominal,-17.32692,-69.4282,Rural,Habilitado TSE,-69.4282,-17.32692
1219,La Paz,General José Manuel Pando,Catacora,Pojo (Parachi),691.0,Uninominal,-17.296146,-69.468596,Rural,Habilitado TSE,-69.468596,-17.296146
1220,La Paz,Caranavi,Caranavi,Caranavi,698.0,Uninominal,-15.83381,-67.565886,Urbano,Habilitado TSE,-67.565886,-15.83381
1221,La Paz,Caranavi,Caranavi,San Lorenzo,699.0,Uninominal,-15.79369,-67.50715,Rural,Habilitado TSE,-67.50715,-15.79369
1222,La Paz,Caranavi,Caranavi,Choro,700.0,Uninominal,-16.033246,-67.631586,Rural,Habilitado TSE,-67.631586,-16.033246
1223,La Paz,Caranavi,Caranavi,Taypiplaya,701.0,Uninominal,-15.93649,-67.47856,Urbano,Habilitado TSE,-67.47856,-15.93649
1224,La Paz,Caranavi,Caranavi,Santa Fé,702.0,Uninominal,-15.80753,-67.62475,Rural,Habilitado TSE,-67.62475,-15.80753
1225,La Paz,Caranavi,Caranavi,Alcoche,703.0,Uninominal,-15.751127,-67.674795,Urbano,Habilitado TSE,-67.674795,-15.751127
1226,La Paz,Caranavi,Caranavi,Villa Elevación,704.0,Uninominal,-15.68759,-67.62841,Rural,Habilitado TSE,-67.62841,-15.68759
1227,La Paz,Caranavi,Caranavi,Villa Flor de Mayo,705.0,Uninominal,-15.68305,-67.60384,Rural,Habilitado TSE,-67.60384,-15.68305
1228,La Paz,Caranavi,Caranavi,Incahuara de Kullu Cuchu,706.0,Uninominal,-15.97782,-67.59956,Rural,Habilitado TSE,-67.59956,-15.97782
1229,La Paz,Caranavi,Caranavi,Uyunense,707.0,Uninominal,-15.86842,-67.58036,Rural,Habilitado TSE,-67.58036,-15.86842
1230,La Paz,Caranavi,Caranavi,Exaltación,3269.0,Uninominal,-15.852,-67.60762,Rural,Habilitado TSE,-67.60762,-15.852
1231,La Paz,Caranavi,Caranavi,Santa Ana de Caranavi,710.0,Uninominal,-15.905739,-67.552956,Rural,Habilitado TSE,-67.552956,-15.905739
1232,La Paz,Caranavi,Caranavi,San Pablo,714.0,Uninominal,-15.771496,-67.540139,Rural,Habilitado TSE,-67.540139,-15.771496
1233,La Paz,Caranavi,Caranavi,Chojña,715.0,Uninominal,-15.95466,-67.56999,Rural,Habilitado TSE,-67.56999,-15.95466
1234,La Paz,Caranavi,Caranavi,San Pedro,716.0,Uninominal,-16.00981,-67.61211,Rural,Habilitado TSE,-67.61211,-16.00981
1235,La Paz,Caranavi,Caranavi,Rosario Entre Ríos,721.0,Uninominal,-15.77615,-67.44241,Rural,Habilitado TSE,-67.44241,-15.77615
1236,La Paz,Caranavi,Caranavi,Chijchipani,722.0,Uninominal,-15.8093,-67.4232,Rural,Habilitado TSE,-67.4232,-15.8093
1237,La Paz,Caranavi,Caranavi,Villamontes,3000.0,Uninominal,-15.8295,-67.31539,Rural,Habilitado TSE,-67.31539,-15.8295
1238,La Paz,Caranavi,Caranavi,Calama,723.0,Uninominal,-15.62007,-67.59677,Urbano,Habilitado TSE,-67.59677,-15.62007
1239,La Paz,Caranavi,Caranavi,Carrasco la Reserva,724.0,Uninominal,-15.73402,-67.51271,Rural,Habilitado TSE,-67.51271,-15.73402
1240,La Paz,Caranavi,Caranavi,Carrasco,725.0,Uninominal,-15.74751,-67.4963,Rural,Habilitado TSE,-67.4963,-15.74751
1241,La Paz,Caranavi,Caranavi,Alto Illimani,726.0,Uninominal,-15.75793,-67.57357,Rural,Habilitado TSE,-67.57357,-15.75793
1242,La Paz,Caranavi,Caranavi,Nueva Llusta 2da.,3473.0,Uninominal,-15.85297,-67.39731,Rural,Habilitado TSE,-67.39731,-15.85297
1243,La Paz,Caranavi,Alto Beni,Villa Unificada,3675.0,Uninominal,-15.59869,-67.39796,Rural,Habilitado TSE,-67.39796,-15.59869
1244,La Paz,Caranavi,Alto Beni,Sararia,709.0,Uninominal,-15.39834,-67.51301,Rural,Habilitado TSE,-67.51301,-15.39834
1245,La Paz,Caranavi,Alto Beni,Suapi Alto Beni,711.0,Uninominal,-15.511801,-67.449193,Urbano,Habilitado TSE,-67.449193,-15.511801
1246,La Paz,Caranavi,Alto Beni,Santa Ana de Alto Beni,712.0,Uninominal,-15.62154,-67.42459,Rural,Habilitado TSE,-67.42459,-15.62154
1247,La Paz,Caranavi,Alto Beni,Santa Rosa,717.0,Uninominal,-15.54566,-67.44894,Rural,Habilitado TSE,-67.44894,-15.54566
1248,La Paz,Caranavi,Alto Beni,Belén,718.0,Uninominal,-15.554224,-67.444168,Rural,Habilitado TSE,-67.444168,-15.554224
1249,La Paz,Caranavi,Alto Beni,Eduardo Avaroa,719.0,Uninominal,-15.656813,-67.175732,Urbano,Habilitado TSE,-67.175732,-15.656813
1250,La Paz,Caranavi,Alto Beni,Piquendo,2999.0,Uninominal,-15.59628,-67.38728,Rural,Habilitado TSE,-67.38728,-15.59628
1251,La Paz,Caranavi,Alto Beni,Villa Litoral,3898.0,Uninominal,-15.589065,-67.306364,Rural,Habilitado TSE,-67.306364,-15.589065
1252,La Paz,Caranavi,Alto Beni,Villa El Porvenir,3899.0,Uninominal,-15.609614,-67.247881,Rural,Habilitado TSE,-67.247881,-15.609614
1253,La Paz,Caranavi,Alto Beni,Puente Alto Beni,3900.0,Uninominal,-15.561666,-67.37621,Urbano,Habilitado TSE,-67.37621,-15.561666
1254,La Paz,Caranavi,Alto Beni,Mercedes,4184.0,Uninominal,-15.64361,-67.273676,Urbano,Habilitado TSE,-67.273676,-15.64361
1255,Cochabamba,Cercado,Cochabamba,Cochabamba,821.0,Uninominal,-17.393795,-66.157005,Urbano,Habilitado TSE,-66.157005,-17.393795
1256,Cochabamba,Cercado,Cochabamba,Tirani,4198.0,Uninominal,-17.343571,-66.156617,Urbano,Habilitado TSE,-66.156617,-17.343571
1257,Cochabamba,Campero,Aiquile,Jarca Mayu,4519.0,Uninominal,-18.237038,-65.263583,Rural,Habilitado TSE,-65.263583,-18.237038
1258,Cochabamba,Campero,Aiquile,Marquilla,4540.0,Uninominal,-18.155921,-65.149232,Rural,Habilitado TSE,-65.149232,-18.155921
1259,Cochabamba,Campero,Aiquile,Higus Pampa,4541.0,Uninominal,-18.253225,-65.00925,Rural,Habilitado TSE,-65.00925,-18.253225
1260,Cochabamba,Campero,Aiquile,Tabla Mayu,4537.0,Uninominal,-18.329853,-65.16306,Rural,Habilitado TSE,-65.16306,-18.329853
1261,Cochabamba,Campero,Aiquile,Aiquile,822.0,Uninominal,-18.200105,-65.180438,Urbano,Habilitado TSE,-65.180438,-18.200105
1262,Cochabamba,Campero,Aiquile,El Cercado,823.0,Uninominal,-18.102256,-65.177673,Rural,Habilitado TSE,-65.177673,-18.102256
1263,Cochabamba,Campero,Aiquile,Tipajara,824.0,Uninominal,-18.133774,-65.279747,Rural,Habilitado TSE,-65.279747,-18.133774
1264,Cochabamba,Campero,Aiquile,Novillero,825.0,Uninominal,-18.301054,-65.234275,Rural,Habilitado TSE,-65.234275,-18.301054
1265,Cochabamba,Campero,Aiquile,Villa Granado,826.0,Uninominal,-18.209211,-65.037745,Rural,Habilitado TSE,-65.037745,-18.209211
1266,Cochabamba,Campero,Aiquile,Estanzuela,827.0,Uninominal,-18.33058,-64.874803,Rural,Habilitado TSE,-64.874803,-18.33058
1267,Cochabamba,Campero,Aiquile,Lagarpampa,829.0,Uninominal,-18.452818,-64.989835,Rural,Habilitado TSE,-64.989835,-18.452818
1268,Cochabamba,Campero,Aiquile,Quiroga,828.0,Uninominal,-18.423291,-65.216837,Rural,Habilitado TSE,-65.216837,-18.423291
1269,Cochabamba,Campero,Aiquile,Eje Pampa,3005.0,Uninominal,-18.5389,-65.171099,Rural,Habilitado TSE,-65.171099,-18.5389
1270,Cochabamba,Campero,Aiquile,Ch'aquimayu,3858.0,Uninominal,-18.265533,-65.282048,Rural,Habilitado TSE,-65.282048,-18.265533
1271,Cochabamba,Campero,Aiquile,Panamá,3860.0,Uninominal,-18.308987,-65.108651,Rural,Habilitado TSE,-65.108651,-18.308987
1272,Cochabamba,Campero,Aiquile,Qhewiñal,3862.0,Uninominal,-18.373764,-65.317704,Rural,Habilitado TSE,-65.317704,-18.373764
1273,Cochabamba,Campero,Aiquile,Laime,3952.0,Uninominal,-18.450147,-65.095981,Rural,Habilitado TSE,-65.095981,-18.450147
1274,Cochabamba,Campero,Aiquile,Molle Pampa  A,4202.0,Uninominal,-18.427604,-64.935509,Rural,Habilitado TSE,-64.935509,-18.427604
1275,Cochabamba,Campero,Aiquile,San Antonio,4203.0,Uninominal,-18.172332,-64.975674,Rural,Habilitado TSE,-64.975674,-18.172332
1276,Cochabamba,Campero,Aiquile,Tipa Pampa,4244.0,Uninominal,-18.3338,-65.2285,Rural,Habilitado TSE,-65.2285,-18.3338
1277,Cochabamba,Campero,Pasorapa,Pasorapa,830.0,Uninominal,-18.316349,-64.67598,Urbano,Habilitado TSE,-64.67598,-18.316349
1278,Cochabamba,Campero,Pasorapa,Quinori,831.0,Uninominal,-18.503115,-64.396576,Rural,Habilitado TSE,-64.396576,-18.503115
1279,Cochabamba,Campero,Pasorapa,Seibas,3117.0,Uninominal,-18.49377,-64.574126,Rural,Habilitado TSE,-64.574126,-18.49377
1280,Cochabamba,Campero,Pasorapa,Pampas,3723.0,Uninominal,-18.402467,-64.512841,Rural,Habilitado TSE,-64.512841,-18.402467
1281,Cochabamba,Campero,Pasorapa,Bañado Redondo,3997.0,Uninominal,-18.500685,-64.314451,Rural,Habilitado TSE,-64.314451,-18.500685
1282,Cochabamba,Campero,Pasorapa,Yajo Pampa,3998.0,Uninominal,-18.136559,-64.559512,Rural,Habilitado TSE,-64.559512,-18.136559
1283,Cochabamba,Campero,Omereque,Omereque,832.0,Uninominal,-18.106199,-64.907991,Rural,Habilitado TSE,-64.907991,-18.106199
1284,Cochabamba,Campero,Omereque,Huanacuni Chico,833.0,Uninominal,-17.928768,-64.98838,Rural,Habilitado TSE,-64.98838,-17.928768
1285,Cochabamba,Campero,Omereque,Peña Colorada,834.0,Uninominal,-18.171979,-64.870285,Urbano,Habilitado TSE,-64.870285,-18.171979
1286,Cochabamba,Campero,Omereque,Perereta,835.0,Uninominal,-18.1318,-64.82058,Rural,Habilitado TSE,-64.82058,-18.1318
1287,Cochabamba,Campero,Omereque,Perez,2900.0,Uninominal,-18.113778,-64.766943,Rural,Habilitado TSE,-64.766943,-18.113778
1288,Cochabamba,Campero,Omereque,Chari Chari,837.0,Uninominal,-18.024854,-65.018191,Rural,Habilitado TSE,-65.018191,-18.024854
1289,Cochabamba,Ayopaya,Ayopaya,Comunidad Chinosive,4607.0,Uninominal,-17.416699,-66.78754,Rural,Habilitado TSE,-66.78754,-17.416699
1290,Cochabamba,Ayopaya,Ayopaya,Comunidad de Villa Hermosa,4608.0,Uninominal,-17.371223,-66.805492,Rural,Habilitado TSE,-66.805492,-17.371223
1291,Cochabamba,Ayopaya,Ayopaya,Independencia,838.0,Uninominal,-17.081931,-66.821248,Rural,Habilitado TSE,-66.821248,-17.081931
1292,Cochabamba,Ayopaya,Ayopaya,Tiquirpaya,2906.0,Uninominal,-17.116691,-66.730636,Rural,Habilitado TSE,-66.730636,-17.116691
1293,Cochabamba,Ayopaya,Ayopaya,Tapaza,840.0,Uninominal,-17.178705,-66.745031,Rural,Habilitado TSE,-66.745031,-17.178705
1294,Cochabamba,Ayopaya,Ayopaya,Machaca,841.0,Uninominal,-17.123247,-66.867368,Rural,Habilitado TSE,-66.867368,-17.123247
1295,Cochabamba,Ayopaya,Ayopaya,Pocanche,845.0,Uninominal,-16.935534,-66.83318,Rural,Habilitado TSE,-66.83318,-16.935534
1296,Cochabamba,Ayopaya,Ayopaya,Villa Pucara,2908.0,Uninominal,-16.990853,-66.963963,Rural,Habilitado TSE,-66.963963,-16.990853
1297,Cochabamba,Ayopaya,Ayopaya,Charahuaytu,2909.0,Uninominal,-17.265425,-66.796925,Rural,Habilitado TSE,-66.796925,-17.265425
1298,Cochabamba,Ayopaya,Ayopaya,Calchani,842.0,Uninominal,-17.324639,-66.690129,Rural,Habilitado TSE,-66.690129,-17.324639
1299,Cochabamba,Ayopaya,Ayopaya,Chamacoma,863.0,Uninominal,-17.407707,-66.703332,Rural,Habilitado TSE,-66.703332,-17.407707
1300,Cochabamba,Ayopaya,Ayopaya,Chaupisuyo  A,3009.0,Uninominal,-17.359425,-66.629869,Rural,Habilitado TSE,-66.629869,-17.359425
1301,Cochabamba,Ayopaya,Ayopaya,Icoya Kami,843.0,Uninominal,-17.384954,-66.814529,Rural,Habilitado TSE,-66.814529,-17.384954
1302,Cochabamba,Ayopaya,Ayopaya,Sisi Palermo,849.0,Uninominal,-17.20461,-66.836979,Rural,Habilitado TSE,-66.836979,-17.20461
1303,Cochabamba,Ayopaya,Ayopaya,Cotani,4236.0,Uninominal,-17.26,-66.7117,Rural,Habilitado TSE,-66.7117,-17.26
1304,Cochabamba,Ayopaya,Ayopaya,Ascasive Alto,4237.0,Uninominal,-17.332,-66.7175,Rural,Habilitado TSE,-66.7175,-17.332
1305,Cochabamba,Ayopaya,Ayopaya,Llajma Alto Chamacoma,4238.0,Uninominal,-17.373,-66.6686,Rural,Habilitado TSE,-66.6686,-17.373
1306,Cochabamba,Ayopaya,Ayopaya,Cuesta K'uchu,4239.0,Uninominal,-17.4,-66.6325,Rural,Habilitado TSE,-66.6325,-17.4
1307,Cochabamba,Ayopaya,Ayopaya,Colaya,4240.0,Uninominal,-17.354,-66.7332,Rural,Habilitado TSE,-66.7332,-17.354
1308,Cochabamba,Ayopaya,Ayopaya,Lirimani,4241.0,Uninominal,-17.266,-66.8667,Rural,Habilitado TSE,-66.8667,-17.266
1309,Cochabamba,Ayopaya,Ayopaya,Carhuani,4406.0,Uninominal,-16.86386,-66.90343,Rural,Habilitado TSE,-66.90343,-16.86386
1310,Cochabamba,Ayopaya,Morochata,Morochata,850.0,Uninominal,-17.23173,-66.53392,Rural,Habilitado TSE,-66.53392,-17.23173
